Time, Voltage, ADC
00:00:00,0.5051283,1744
00:00:01,0.432845,1791
00:00:02,0.4582418,1936
00:00:03,0.4614164,1862
00:00:04,0.4581197,1915
00:00:06,0.4561661,1951
00:00:07,0.4619048,1713
00:00:08,0.4614164,1867
00:00:09,0.4582418,1838
00:00:10,0.4545788,1859
00:00:11,0.4592186,1936
00:00:12,0.4588523,1873
00:00:13,0.4603175,1851
00:00:14,0.4612943,1925
00:00:15,0.4570208,1906
00:00:16,0.4608059,1873
00:00:17,0.4615385,1895
00:00:18,0.4605617,1902
00:00:20,0.4583639,1615
00:00:21,0.4649573,1903
00:00:22,0.4598291,1327
00:00:23,0.4611722,1815
00:00:24,0.4571429,1924
00:00:25,0.4589744,1675
00:00:26,0.4615385,1600
00:00:27,0.4606838,1897
00:00:28,0.4608059,1737
00:00:29,0.4615385,1640
00:00:30,0.4648352,1910
00:00:31,0.4588523,1439
00:00:33,0.4601954,1915
00:00:34,0.4588523,1636
00:00:35,0.4612943,1915
00:00:36,0.4606838,1801
00:00:37,0.4623932,1922
00:00:38,0.4589744,1872
00:00:39,0.4582418,1660
00:00:41,0.4598291,1794
00:00:42,0.4590965,1905
00:00:43,0.4612943,1734
00:00:44,0.4625153,1901
00:00:45,0.4594628,1898
00:00:46,0.4590965,1750
00:00:48,0.4638584,1968
00:00:49,0.4611722,1907
00:00:50,0.4559219,1989
00:00:51,0.4641026,1781
00:00:52,0.4587302,1984
00:00:53,0.4587302,1760
00:00:54,0.4571429,1878
00:00:55,0.458486,1851
00:00:56,0.4649573,1900
00:00:57,0.4581197,1861
00:00:58,0.4577534,1776
00:00:59,0.4608059,1904
00:01:01,0.4579976,1937
00:01:02,0.4579976,1757
00:01:03,0.4639805,1917
00:01:04,0.4576313,1899
00:01:05,0.4614164,1935
00:01:06,0.4567766,1936
00:01:07,0.4612943,1680
00:01:08,0.4654457,1911
00:01:09,0.4614164,1776
00:01:10,0.4608059,1813
00:01:11,0.4600733,1903
00:01:12,0.4566545,1863
00:01:14,0.4583639,1908
00:01:15,0.4557998,1936
00:01:16,0.4567766,1955
00:01:17,0.4575092,1936
00:01:18,0.4561661,1831
00:01:19,0.4614164,1671
00:01:20,0.4634921,1874
00:01:21,0.4583639,1924
00:01:22,0.4630037,1843
00:01:23,0.4595849,1919
00:01:24,0.4559219,1850
00:01:26,0.4623932,1904
00:01:27,0.4619048,1679
00:01:28,0.4598291,1874
00:01:29,0.4619048,1916
00:01:30,0.4575092,1663
00:01:31,0.4648352,1895
00:01:32,0.4612943,1396
00:01:33,0.4610501,1797
00:01:34,0.4615385,1905
00:01:35,0.4545788,1917
00:01:37,0.459707,1645
00:01:38,0.4659341,1872
00:01:39,0.4589744,1855
00:01:40,0.4590965,1916
00:01:41,0.4589744,1840
00:01:42,0.4588523,1915
00:01:43,0.4533578,1911
00:01:45,0.4616606,1871
00:01:46,0.4626374,1904
00:01:47,0.4649573,1981
00:01:49,0.4595849,1891
00:01:50,0.457265,1189
00:01:51,0.4612943,1729
00:01:52,0.4598291,1915
00:01:53,0.4571429,1911
00:01:54,0.4583639,1918
00:01:55,0.4601954,1905
00:01:56,0.4565324,1935
00:01:57,0.4641026,1802
00:01:58,0.4616606,1908
00:02:00,0.4600733,1329
00:02:01,0.4599512,1908
00:02:02,0.4625153,1855
00:02:03,0.4566545,1930
00:02:04,0.4539683,1917
00:02:05,0.4611722,1619
00:02:06,0.4649573,1862
00:02:07,0.4614164,1909
00:02:08,0.4638584,1823
00:02:10,0.4630037,1857
00:02:11,0.4625153,1910
00:02:12,0.4581197,1956
00:02:13,0.4598291,1690
00:02:14,0.46337,1939
00:02:15,0.4568987,1310
00:02:16,0.4600733,1808
00:02:17,0.4643468,1936
00:02:18,0.460928,1909
00:02:20,0.4604396,1947
00:02:21,0.4604396,1773
00:02:22,0.4587302,1664
00:02:23,0.4661783,1898
00:02:24,0.4644689,1334
00:02:25,0.4589744,1966
00:02:26,0.4637363,1904
00:02:27,0.4582418,1884
00:02:28,0.4637363,1957
00:02:30,0.4637363,1950
00:02:31,0.4625153,1904
00:02:32,0.4636142,1914
00:02:33,0.4611722,1903
00:02:34,0.4628816,1905
00:02:35,0.4644689,1901
00:02:36,0.4571429,1946
00:02:37,0.4571429,1858
00:02:39,0.462149,1723
00:02:40,0.4642247,1877
00:02:41,0.4620269,1893
00:02:42,0.4606838,1902
00:02:43,0.4603175,1211
00:02:44,0.4628816,1950
00:02:45,0.4619048,1861
00:02:46,0.4516484,1713
00:02:47,0.4568987,1799
00:02:49,0.4788767,1962
00:02:51,0.4639805,1858
00:02:52,0.4681319,1899
00:02:53,0.4625153,1884
00:02:54,0.4636142,1859
00:02:55,0.4649573,1899
00:02:56,0.46337,1861
00:02:57,0.4649573,1881
00:02:58,0.4622711,1968
00:03:00,0.4566545,1937
00:03:01,0.4566545,1941
00:03:02,0.464591,1904
00:03:03,0.4611722,1905
00:03:04,0.4592186,1726
00:03:05,0.4626374,1712
00:03:06,0.4608059,1898
00:03:07,0.4636142,1259
00:03:09,0.4627595,1921
00:03:10,0.4604396,1886
00:03:11,0.4638584,1909
00:03:12,0.4634921,1904
00:03:13,0.4636142,1791
00:03:14,0.4599512,1807
00:03:15,0.4611722,1946
00:03:16,0.4649573,1840
00:03:17,0.4619048,1917
00:03:18,0.4590965,1989
00:03:19,0.4581197,1698
00:03:20,0.4636142,1931
00:03:22,0.4628816,1891
00:03:23,0.4632479,1947
00:03:24,0.4579976,1738
00:03:25,0.4620269,1663
00:03:26,0.4650794,1925
00:03:27,0.4630037,1710
00:03:28,0.4579976,1808
00:03:29,0.4625153,1946
00:03:30,0.4612943,1981
00:03:31,0.4599512,1933
00:03:32,0.4615385,1728
00:03:33,0.4663004,1883
00:03:35,0.464591,1603
00:03:36,0.4593407,1904
00:03:37,0.4653236,1851
00:03:38,0.4626374,1907
00:03:39,0.4595849,1947
00:03:40,0.4626374,1634
00:03:41,0.4634921,1856
